Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_2-tile_size_4096-scalar_factor_3.0,5/5,179.5,182.8,158.8,207.5,19.919086324427628,0.27647136,0.2688723,0.2368486,0.3094766,0.030144317829451702,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_4-tile_size_2048-scalar_factor_10.0,5/5,206.9,180.7,156.0,282.7,55.62719658584279,0.25075782,0.2720179,0.1738669,0.3150022,0.06175836423017534,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_4-tile_size_2048-scalar_factor_3.0,5/5,260.82,250.7,185.3,380.0,72.31505375784491,0.19890368,0.1960223,0.1293494,0.2652377,0.048738245330869276,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_8-tile_size_1024-scalar_factor_10.0,5/5,205.14,187.9,139.4,317.4,71.92345236430185,0.26150032,0.2615191,0.1548607,0.3525058,0.08041137607942672,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_8-tile_size_1024-scalar_factor_3.0,5/5,170.88,172.8,140.3,190.0,20.162018748131345,0.29110157999999997,0.2844461,0.2587329,0.3502426,0.03708367615524384,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_1-num_channels_1-tile_size_1024-group_size_32,5/5,170.2,177.2,142.3,188.8,19.746265469703374,0.01559439,0.01480412,0.01389978,0.01844238,0.0019209271607221342,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_1-num_channels_2-tile_size_512-group_size_32,5/5,180.96,157.8,119.2,321.8,81.32802714931674,0.0163251368,0.01663286,0.008154564,0.02201028,0.0052601103337032015,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_2-num_channels_1-tile_size_512-group_size_32,5/5,144.62,135.0,118.6,188.2,30.15695607981681,0.018746968,0.01944323,0.0139398,0.0221274,0.003627261320965171,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_2-num_channels_2-tile_size_256-group_size_32,5/5,173.28,196.4,108.8,228.7,50.0844985998662,0.01636307,0.01335886,0.01147475,0.02411831,0.00534534391176564,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_4-num_channels_1-tile_size_256-group_size_32,5/5,175.12,185.4,129.6,201.1,27.882915916381485,0.01534793,0.01415143,0.01304999,0.0202427,0.00287515166388662,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_4-num_channels_2-tile_size_128-group_size_32,5/5,167.08,172.8,130.0,190.3,23.209847048181945,0.015981888,0.01518352,0.01379078,0.02017872,0.002509477926276699,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_8-num_channels_1-tile_size_128-group_size_32,5/5,221.02,244.4,120.7,287.7,66.0341351120767,0.01306767,0.01073496,0.00911909,0.02173625,0.005134834361520339,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_1024-num_aie_columns_8-num_channels_2-tile_size_64-group_size_32,5/5,211.86,212.4,189.8,234.2,16.20333299046834,0.012443184,0.01235149,0.01120577,0.01382501,0.00095809435812972,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048-group_size_32,5/5,140.0,143.3,131.2,149.6,7.984672817341989,0.03758837,0.03663193,0.03508608,0.03999086,0.002153954458176868,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-group_size_32,5/5,143.96,148.1,127.9,163.3,14.526458618672347,0.036752254,0.03543982,0.03214091,0.0410343,0.0036976723581504624,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-group_size_32,5/5,156.26,147.4,130.0,188.0,23.32397907733584,0.034172132,0.03560114,0.02791222,0.04037948,0.004960722363539407,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-group_size_32,5/5,153.14000000000001,159.3,118.6,172.8,20.636811769263204,0.034856116,0.03294558,0.03037758,0.0442548,0.005448828522855164,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-group_size_32,5/5,142.42000000000002,149.9,104.2,167.8,25.589294636624906,0.03794808,0.03502052,0.03128297,0.05035067,0.007728623320621209,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256-group_size_32,5/5,174.74,184.3,136.3,212.6,32.25434854403356,0.030908098000000002,0.02847979,0.02468079,0.03851489,0.005942493388264728,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_8-num_channels_1-tile_size_256-group_size_32,5/5,154.14000000000001,153.3,127.5,190.8,24.0784758653865,0.034689884,0.03422638,0.02750625,0.04117273,0.0051715677625484135,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_8-num_channels_2-tile_size_128-group_size_32,5/5,210.06,204.6,171.3,240.2,26.797910366295348,0.025330336,0.02565143,0.02185237,0.03063345,0.0034204968921459347,,,,,
